Broj_police,Starost,Kanal_prodaje,Regija,Premija,Broj_šteta,Iznos_štete
1,19,IPM,Zagreb,295.18,0,0.0
2,21,Broker,Zagreb,264.88,0,0.0
3,62,Banka,Zagreb,272.1,0,0.0
4,30,Web,Slavonija,254.64,0,0.0
5,72,IPM,Slavonija,242.02,0,0.0
6,49,IPM,Dalmacija,261.35,0,0.0
7,39,IPM,Zagreb,256.79,0,0.0
8,72,Broker,Slavonija,241.38,0,0.0
9,34,Web,Dalmacija,268.39,0,0.0
10,68,Banka,Dalmacija,250.38,0,0.0
11,25,IPM,Dalmacija,234.15,0,0.0
12,78,Broker,Dalmacija,251.18,0,0.0
13,27,Broker,Istra i Kvarner,256.02,1,701.32
14,36,IPM,Zagreb,248.83,0,0.0
15,31,IPM,Slavonija,274.81,0,0.0
16,84,IPM,Zagreb,304.53,1,505.47
17,72,IPM,Zagreb,276.98,0,0.0
18,78,Web,Zagreb,271.7,0,0.0
19,73,Web,Zagreb,275.38,0,0.0
20,80,IPM,Zagreb,289.74,2,763.17
21,28,Web,Zagreb,282.47,1,471.8
22,64,IPM,Zagreb,278.95,1,309.39
23,23,IPM,Istra i Kvarner,270.73,0,0.0
24,51,IPM,Zagreb,293.66,0,0.0
25,82,Web,Dalmacija,235.6,0,0.0
26,81,Banka,Zagreb,289.64,0,0.0
27,83,IPM,Istra i Kvarner,267.27,1,3225.0
28,48,Web,Dalmacija,254.17,0,0.0
29,79,Web,Slavonija,258.99,0,0.0
30,71,IPM,Slavonija,245.39,0,0.0
31,25,Web,Zagreb,255.13,0,0.0
32,59,IPM,Istra i Kvarner,278.31,0,0.0
33,58,IPM,Dalmacija,229.91,0,0.0
34,76,Broker,Dalmacija,275.22,0,0.0
35,57,Broker,Slavonija,249.02,0,0.0
36,39,Broker,Zagreb,295.58,0,0.0
37,41,IPM,Dalmacija,250.34,0,0.0
38,55,IPM,Zagreb,290.47,0,0.0
39,19,Web,Slavonija,256.73,0,0.0
40,58,Web,Zagreb,263.96,1,158.88
41,36,IPM,Istra i Kvarner,252.01,0,0.0
42,19,Web,Zagreb,272.64,0,0.0
43,79,IPM,Zagreb,285.61,0,0.0
44,33,Broker,Slavonija,252.12,0,0.0
45,39,IPM,Dalmacija,254.29,1,435.88
46,31,Web,Slavonija,234.61,0,0.0
47,73,IPM,Zagreb,253.91,0,0.0
48,82,Web,Zagreb,276.17,0,0.0
49,62,Web,Dalmacija,252.72,0,0.0
50,71,IPM,Istra i Kvarner,234.23,0,0.0
51,83,Broker,Dalmacija,258.57,0,0.0
52,63,Banka,Slavonija,259.23,0,0.0
53,50,Broker,Istra i Kvarner,252.34,0,0.0
54,67,Broker,Slavonija,250.24,0,0.0
55,39,Web,Slavonija,230.99,1,139.06
56,57,Broker,Slavonija,230.74,0,0.0
57,56,IPM,Slavonija,255.92,0,0.0
58,58,IPM,Dalmacija,237.58,0,0.0
59,24,IPM,Slavonija,238.63,0,0.0
60,21,IPM,Zagreb,279.6,0,0.0
61,76,IPM,Zagreb,308.62,0,0.0
62,43,IPM,Zagreb,268.44,0,0.0
63,48,Broker,Slavonija,280.76,0,0.0
64,69,IPM,Zagreb,273.74,0,0.0
65,38,IPM,Zagreb,284.3,0,0.0
66,33,Web,Slavonija,264.4,0,0.0
67,68,IPM,Slavonija,265.49,0,0.0
68,33,Broker,Dalmacija,255.09,0,0.0
69,35,IPM,Slavonija,246.55,0,0.0
70,64,Broker,Dalmacija,262.42,0,0.0
71,73,Banka,Istra i Kvarner,256.36,1,271.71
72,45,IPM,Dalmacija,243.46,0,0.0
73,73,IPM,Slavonija,271.14,0,0.0
74,54,Broker,Zagreb,282.55,0,0.0
75,33,Banka,Istra i Kvarner,238.76,0,0.0
76,82,Banka,Zagreb,260.71,0,0.0
77,77,Banka,Zagreb,307.32,0,0.0
78,78,IPM,Slavonija,242.61,0,0.0
79,28,IPM,Zagreb,287.42,0,0.0
80,83,IPM,Istra i Kvarner,255.65,0,0.0
81,49,Broker,Slavonija,260.78,0,0.0
82,36,Web,Slavonija,278.68,0,0.0
83,73,IPM,Slavonija,264.96,0,0.0
84,22,IPM,Slavonija,262.54,0,0.0
85,20,IPM,Zagreb,271.75,0,0.0
86,45,IPM,Slavonija,240.03,0,0.0
87,46,Banka,Dalmacija,286.29,0,0.0
88,76,Web,Slavonija,249.37,1,990.57
89,42,Broker,Dalmacija,248.4,0,0.0
90,39,Web,Zagreb,279.77,0,0.0
91,40,IPM,Zagreb,278.16,0,0.0
92,57,Banka,Zagreb,301.28,0,0.0
93,31,Banka,Zagreb,283.9,0,0.0
94,46,Web,Dalmacija,230.35,1,307.3
95,33,Banka,Dalmacija,240.11,0,0.0
96,27,Web,Zagreb,275.18,0,0.0
97,64,Web,Slavonija,265.38,0,0.0
98,21,Web,Dalmacija,227.19,1,2339.83
99,29,IPM,Zagreb,283.15,0,0.0
100,59,IPM,Zagreb,287.07,0,0.0
101,21,IPM,Istra i Kvarner,263.24,0,0.0
102,23,Web,Slavonija,248.8,1,1857.65
103,31,IPM,Istra i Kvarner,265.74,0,0.0
104,52,Web,Zagreb,261.55,0,0.0
105,64,Broker,Dalmacija,264.18,0,0.0
106,75,IPM,Zagreb,273.98,1,766.42
107,82,Web,Zagreb,275.71,0,0.0
108,36,Banka,Slavonija,250.48,0,0.0
109,74,IPM,Zagreb,285.73,1,3445.53
110,82,IPM,Zagreb,256.77,0,0.0
111,30,IPM,Zagreb,289.61,0,0.0
112,25,IPM,Zagreb,289.37,0,0.0
113,35,Broker,Dalmacija,245.48,0,0.0
114,52,Broker,Slavonija,250.04,1,1803.85
115,43,Web,Zagreb,260.82,0,0.0
